username,id,displayname,followersCount,friendsCount,location
AjaybhattBJP4UK,754223821641674752,Ajay Bhatt,31036,526,India
npanchariyabjp,2907867037,Narayan Lal Panchariya,10235,108,New Delhi
parag_alavani,2332283713,parag alavani,8654,636,
AdvRajendraPal,2475514591,Rajendra Pal Gautam,53787,542,"New Delhi, India"
BJPShivPShukla,1943733722,Shiv Pratap Shukla,35865,400,"New Delhi, India"
balbirpunj,369570414,Balbir Punj,9605,184,India
Dev_Fadnavis,137780376,Devendra Fadnavis,5209064,51,"Maharashtra State,India"
BJP4UK,2229508381,BJP Uttarakhand,138152,121,Dehradun
MADANLALAAP,3221753772,MADAN LAL MLA,5787,172,"Kotla Mubarakpur, New Delhi"
ShelarAshish,946041348,Adv. Ashish Shelar - ॲड. आशिष शेलार,267654,645,Mumbai
RamniwasGawriya,4838791572,Ramniwas Gawriya,167039,383,"Parbatsar, India"
khadseraksha,2413574533,Raksha Khadse,48574,200,Muktainagar
tinkuroybjp,732127554585264128,Tinku Roy 🇮🇳,7037,222,"Tripura, India"
ShainaNC,135782269,Shaina Chudasama Munot,216044,160,Mumbai
epanchjanya,381630294,Panchjanya,143499,96,Delhi
anil_baluni,1628406374,Anil Baluni,57208,64,"New Delhi, India"
gauravbh,59112159,Gaurav Bhatia गौरव भाटिया 🇮🇳,526604,388,"New Delhi, India"
PChidambaram_IN,3097503906,P. Chidambaram,1719282,9,
harjotbains,304156373,Harjot Singh Bains,26021,1998,Anandpur Sahib 
nsui,16323656,NSUI,473928,273,"5 A, Raisina Road, New Delhi"
drashwathcn,2885971046,Dr. Ashwathnarayan C. N.,264968,332,Bengaluru
VarshabenDoshi,478322676,Varsha Doshi🇮🇳,76765,1696,Surendranagar (Gujarat)
nitin_gadkari,97217966,Nitin Gadkari,10224236,448,
DrSushilKrGupta,949933915749396480,Dr Sushil Gupta,20967,215,"New Delhi, India"
khushsundar,122959195,KhushbuSundar or NakhatKhan,1393361,839,
SheikhAamir_inc,3053479483,Sheikh Aamir,3921,959,Jammu And Kashmir
TajinderBagga,85462891,Tajinder Pal Singh Bagga,853589,8891,"New Delhi, India"
amal_mahadik,900630946357010437,Amal Mahadik,5500,176,"Kolhapur, India"
AtishiAAP,361301678,Atishi,410345,526,
Narwal_inc,852869933650198529,Pradeep Narwal,16253,220,India
SantoshRanjan_,1607327322,Santosh Ranjan Rai,41082,5667,Patna-Buxar-Ballia-Delhi......
HardikPatel_,756108545859448832,Hardik Patel,1820585,299,"Gujarat, India"
